"ITTER107","Territorio","TIPO_DATO_VIOLENZA","Tipo dato","SEXISTAT1","Sesso","STEREOTIPI","Stereotipi sui ruoli di genere, comportamenti nella coppia","OPINIONI_A","Grado di accordo","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","WPROVSEX","le donne possono provocare la violenza sessuale con il loro modo di vestire","STRAGR","molto d'accordo","2018","2018",7,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","WABLAVO","le donne che non vogliono un rapporto sessuale riescono ad evitarlo","STRAGR","molto d'accordo","2018","2018",14,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","SEWNRAP","le donne serie non vengono violentate","STRAGR","molto d'accordo","2018","2018",2.5,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","HUSFNVIO","se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza","STRAGR","molto d'accordo","2018","2018",0.8,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","WOFSREM","di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì","STRAGR","molto d'accordo","2018","2018",1.7,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","WSVADRE","se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile","STRAGR","molto d'accordo","2018","2018",3.8,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","M","maschi","OACVIF","spesso le accuse di violenza sessuale sono false","STRAGR","molto d'accordo","2018","2018",2,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","F","femmine","WPROVSEX","le donne possono provocare la violenza sessuale con il loro modo di vestire","STRAGR","molto d'accordo","2018","2018",6.8,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","F","femmine","WABLAVO","le donne che non vogliono un rapporto sessuale riescono ad evitarlo","STRAGR","molto d'accordo","2018","2018",11.4,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","F","femmine","SEWNRAP","le donne serie non vengono violentate","STRAGR","molto d'accordo","2018","2018",1.9,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","F","femmine","HUSFNVIO","se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza","STRAGR","molto d'accordo","2018","2018",0.6,,
"IT","Italia","P18_74_AGVIOL","persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %)","F","femmine","WOFSREM","di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì","STRAGR","molto d'accordo","2018","2018",1.1,,
