"ITTER107","Territorio","TIPO_DATO_VIOLENZA","Tipo dato","SEXISTAT1","Sesso","FREQUENZA2","Livello di diffusione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",1.6,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",1.6,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",1.6,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","ALL","tutte le voci","2018","2018",100,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","ALL","tutte le voci","2018","2018",100,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","ALL","tutte le voci","2018","2018",100,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","VERYCOM","molto diffuso","2018","2018",30.8,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","VERYCOM","molto diffuso","2018","2018",47.7,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","VERYCOM","molto diffuso","2018","2018",39.3,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","FAIRCOM","abbastanza diffuso","2018","2018",51,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","FAIRCOM","abbastanza diffuso","2018","2018",44.7,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","FAIRCOM","abbastanza diffuso","2018","2018",47.8,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NOVERCOM","poco diffuso","2018","2018",11.7,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NOVERCOM","poco diffuso","2018","2018",3.8,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NOVERCOM","poco diffuso","2018","2018",7.7,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NOALCOM","per niente diffuso","2018","2018",1,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NOALCOM","per niente diffuso","2018","2018",0.6,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NOALCOM","per niente diffuso","2018","2018",0.8,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NOKNOW","non sa","2018","2018",3.9,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NOKNOW","non sa","2018","2018",1.6,,
"IT","Italia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NOKNOW","non sa","2018","2018",2.7,,
"ITC","Nord-ovest","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",1.3,,
"ITC","Nord-ovest","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",1.4,,
"ITC","Nord-ovest","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",1.3,,
"ITC1","Piemonte","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",0.6,,
"ITC1","Piemonte","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",2.1,,
"ITC1","Piemonte","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",1.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",2.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",1.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",2.2,,
"ITC3","Liguria","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",2,,
"ITC3","Liguria","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",2.5,,
"ITC3","Liguria","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",2.3,,
"ITC4","Lombardia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",1.4,,
"ITC4","Lombardia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",0.9,,
"ITC4","Lombardia","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",1.1,,
"ITD","Nord-est","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",1.7,,
"ITD","Nord-est","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","F","femmine","NA","non indicato","2018","2018",1.2,,
"ITD","Nord-est","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","T","totale","NA","non indicato","2018","2018",1.4,,
"ITDA","Trentino Alto Adige / Südtirol","P18_74_OPVIOL","persone di 18-74 anni per opinione sul livello di diffusione della violenza fisica e/o sessuale subita dalle donne (composizione %)","M","maschi","NA","non indicato","2018","2018",2.7,,
