"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ISO","Nazionalità","TIPOVIOLENZA","Caratteristiche della violenza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ECON_VIOL","violenza economica","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2013","2013",216,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2014","2014",58,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL","tutte le voci","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","THREATS","minacce","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2013","2013",196,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2014","2014",54,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","UNAV","non disponibile","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",67,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",17,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",20,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","SEXVIOL","violenza sessuale","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",44,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",7,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ECON_VIOL","violenza economica","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2013","2013",999,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2014","2014",164,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL","tutte le voci","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","THREATS","minacce","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NRP","non risponde","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NRP","non risponde","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2013","2013",858,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2014","2014",136,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","UNAV","non disponibile","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",82,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",24,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","SEXVIOL","violenza sessuale","2013","2013",46,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","SEXVIOL","violenza sessuale","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2013","2013",52,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","PHYVIOL","violenza psicologica","2014","2014",11,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ECON_VIOL","violenza economica","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2013","2013",1579,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2014","2014",298,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","ALL","tutte le voci","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2013","2013",8,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","THREATS","minacce","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","HARASS_WORK","mobbing","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NRP","non risponde","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NRP","non risponde","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2013","2013",1384,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2014","2014",256,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","UNAV","non disponibile","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2013","2013",9,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","NRP","Non Indicato","PHY","violenza fisica ","2014","2014",4,,
