"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ISO","Nazionalità","TIPSERVSOC","Esito","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2013","2013",84,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2014","2014",31,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2013","2013",132,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2014","2014",27,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL_VAL","chiamate valide","2013","2013",216,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL_VAL","chiamate valide","2014","2014",58,,
"IT","Italia","USERS","utenti del 1522","M","maschi","NRP","Non Indicato","ALL_VAL","chiamate valide","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2013","2013",13,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2013","2013",12,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2013","2013",569,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2014","2014",79,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2013","2013",430,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2014","2014",85,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2013","2013",17,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL_VAL","chiamate valide","2013","2013",999,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL_VAL","chiamate valide","2014","2014",164,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL_VAL","chiamate valide","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL_VAL","chiamate valide","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","F","femmine","NRP","Non Indicato","ALL_VAL","chiamate valide","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2021","2021",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","118_REQUIRED","richiesto intervento del 118","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2013","2013",22,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2014","2014",5,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2021","2021",10,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","112_REQUIRED","richiesto intervento del 112","2022","2022",17,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2013","2013",19,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2014","2014",5,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2020","2020",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2021","2021",7,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","113_REQUIRED","richiesto  intervento 113","2022","2022",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2013","2013",861,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2014","2014",159,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2019","2019",2,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2020","2020",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2021","2021",8,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TRANSF_SER","trasferito servizio","2022","2022",5,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2013","2013",718,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2014","2014",139,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2020","2020",7,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2021","2021",3,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","NOTRANSF_SER","non trasferito servizio","2022","2022",13,,
"IT","Italia","USERS","utenti del 1522","T","totale","NRP","Non Indicato","TOT_EMERG","totale chiamate in emergenza","2013","2013",28,,
