"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","ISO","Nazionalità","TRASMISSIONE","Modalità di conoscenza del 1522","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",1579,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",298,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2022","2022",18,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","BROCHURE","manifesti e locandine","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","RADIO","radio","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","RADIO","radio","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",211,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",22,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",30,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",9,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",11,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",18,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",4,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",13,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2013","2013",2,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","NOKNOW","non sa/non ricorda","2013","2013",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","NOKNOW","non sa/non ricorda","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",1281,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",254,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2019","2019",3,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2020","2020",10,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2021","2021",11,,
"IT","Italia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2022","2022",18,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",161,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",32,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","BROCHURE","manifesti e locandine","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","RADIO","radio","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",40,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",7,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","NOKNOW","non sa/non ricorda","2014","2014",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",105,,
"ITC","Nord-ovest","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",19,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",46,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",11,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","BROCHURE","manifesti e locandine","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",6,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",5,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2014","2014",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",32,,
"ITC1","Piemonte","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",21,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",2,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",6,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2014","2014",1,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",13,,
"ITC3","Liguria","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",93,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",19,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","BROCHURE","manifesti e locandine","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","RADIO","radio","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",27,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",2,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",2,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",4,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",2,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","NRP","non risponde","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","NOKNOW","non sa/non ricorda","2014","2014",1,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",60,,
"ITC4","Lombardia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",9,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",118,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",34,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",26,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",3,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",5,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2014","2014",1,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",3,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",2,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2014","2014",1,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2014","2014",1,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",80,,
"ITD","Nord-est","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",28,,
"ITDA","Trentino Alto Adige / Südtirol","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",4,,
"ITDA","Trentino Alto Adige / Südtirol","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",2,,
"ITDA","Trentino Alto Adige / Südtirol","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",4,,
"ITDA","Trentino Alto Adige / Südtirol","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",2,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",62,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",13,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",13,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","PRESS","stampa","2013","2013",1,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",1,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","RELATIVE","parente / amico / conoscente","2013","2013",1,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",1,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2013","2013",2,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","PHONE_BOOK","elenco telefonico","2014","2014",1,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",43,,
"ITD3","Veneto","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",12,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",11,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",8,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",2,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",1,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","INTERNET","internet","2013","2013",2,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","PUB_SERV","servizio pubblico","2013","2013",2,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","OTHER","altro","2014","2014",1,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2013","2013",5,,
"ITD4","Friuli-Venezia Giulia","USERS","utenti del 1522","NRP","Non Indicato","UNAV","non disponibile","2014","2014",6,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2013","2013",41,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","TOTAL","totale","2014","2014",11,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2013","2013",11,,
"ITD5","Emilia-Romagna","USERS","utenti del 1522","NRP","Non Indicato","TV","TV","2014","2014",2,,
