"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","MOTIVOPS1","Motivi della chiamata","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","NRP","Non Indicato","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","M","maschi","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2013","2013",16,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","F","femmine","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2013","2013",27,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","T","totale","NRP","Non Indicato","2014","2014",5,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","NRP","non indicato","NRP","Non Indicato","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","VICT_STALK_SEEK","richiesta di aiuto vittima di stalking","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","NRP","Non Indicato","2013","2013",7,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","M","maschi","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2013","2013",132,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","F","femmine","NRP","Non Indicato","2014","2014",28,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2013","2013",170,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","T","totale","NRP","Non Indicato","2014","2014",41,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","NRP","non indicato","NRP","Non Indicato","2013","2013",31,,
"IT","Italia","USERS","utenti del 1522","VICT_VIOL_SEEK","richiesta di aiuto vittima di violenza","NRP","non indicato","NRP","Non Indicato","2014","2014",11,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","NRP","Non Indicato","2013","2013",9,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","M","maschi","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","NRP","Non Indicato","2013","2013",24,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","F","femmine","NRP","Non Indicato","2014","2014",4,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","NRP","Non Indicato","2013","2013",39,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","T","totale","NRP","Non Indicato","2014","2014",8,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","NRP","non indicato","NRP","Non Indicato","2013","2013",6,,
"IT","Italia","USERS","utenti del 1522","REPORT_VIOL","segnalazione di un caso di violenza","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","EMERGENCY","emergenza","M","maschi","NRP","Non Indicato","2014","2014",1,,
