"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","GENERE","Orientamento sessuale","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2013","2013",65,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2014","2014",95,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2015","2015",24,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2016","2016",34,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2017","2017",56,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2018","2018",36,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2019","2019",45,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2020","2020",91,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2021","2021",92,,
"IT","Italia","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2022","2022",77,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2013","2013",123,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2014","2014",34,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2015","2015",13,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2016","2016",20,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2017","2017",20,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2018","2018",16,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2019","2019",28,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2020","2020",89,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2021","2021",81,,
"IT","Italia","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2022","2022",56,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2013","2013",189,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2014","2014",129,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2015","2015",37,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2016","2016",54,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2017","2017",76,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2018","2018",52,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2019","2019",73,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2020","2020",180,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2021","2021",173,,
"IT","Italia","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2022","2022",133,,
"IT","Italia","USERS","utenti del 1522","NRP","non indicato","OMOX","omosessuale","2013","2013",1,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2013","2013",17,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2014","2014",18,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2015","2015",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2016","2016",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2017","2017",12,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2018","2018",9,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2019","2019",14,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2020","2020",17,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2021","2021",20,,
"ITC","Nord-ovest","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2022","2022",13,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2013","2013",24,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2014","2014",8,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2015","2015",2,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2016","2016",5,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2017","2017",6,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2018","2018",3,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2019","2019",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2020","2020",13,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2021","2021",11,,
"ITC","Nord-ovest","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2022","2022",10,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2013","2013",41,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2014","2014",26,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2015","2015",4,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2016","2016",15,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2017","2017",18,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2018","2018",12,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2019","2019",18,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2020","2020",30,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2021","2021",31,,
"ITC","Nord-ovest","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2022","2022",23,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2013","2013",6,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2014","2014",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2016","2016",4,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2017","2017",4,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2018","2018",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2019","2019",2,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2020","2020",4,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2021","2021",5,,
"ITC1","Piemonte","USERS","utenti del 1522","M","maschi","OMOX","omosessuale","2022","2022",1,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2013","2013",5,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2014","2014",3,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2017","2017",3,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2019","2019",2,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2020","2020",5,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2021","2021",5,,
"ITC1","Piemonte","USERS","utenti del 1522","F","femmine","OMOX","omosessuale","2022","2022",2,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2013","2013",11,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2014","2014",5,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2016","2016",4,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2017","2017",7,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2018","2018",2,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2019","2019",4,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2020","2020",9,,
"ITC1","Piemonte","USERS","utenti del 1522","T","totale","OMOX","omosessuale","2021","2021",10,,
