"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","SI_NO","Disabilità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2013","2013",2705,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2014","2014",2470,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2015","2015",1772,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2016","2016",1363,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2017","2017",1787,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2018","2018",2334,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2019","2019",2184,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2020","2020",2466,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2021","2021",1883,,
"IT","Italia","USERS","utenti del 1522","M","maschi","0","no","2022","2022",1585,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2013","2013",141,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2014","2014",156,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2015","2015",102,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2016","2016",83,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2017","2017",114,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2018","2018",107,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2019","2019",61,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2020","2020",167,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2021","2021",350,,
"IT","Italia","USERS","utenti del 1522","M","maschi","1","si","2022","2022",207,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2013","2013",3206,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2014","2014",2834,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2015","2015",2201,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2016","2016",1690,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2017","2017",2119,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2018","2018",2557,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2019","2019",2342,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2020","2020",3403,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2021","2021",4008,,
"IT","Italia","USERS","utenti del 1522","M","maschi","9","totale","2022","2022",3848,,
"IT","Italia","USERS","utenti del 1522","M","maschi","2","non indicato ","2013","2013",360,,
