"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",216,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",58,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",19,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2014","2014",5,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2013","2013",5,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",3,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",189,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2014","2014",50,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2018","2018",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",999,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",164,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","OPERATORS","da operatori","F","femmine","NRP","Non Indicato","2013","2013",4,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","F","femmine","NRP","Non Indicato","2013","2013",20,,
"IT","Italia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","F","femmine","NRP","Non Indicato","2014","2014",3,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",9,,
"IT","Italia","USERS","utenti del 1522","OTH_VALID","altre chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",2,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",966,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",159,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2019","2019",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2020","2020",1,,
"IT","Italia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2022","2022",3,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",1579,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",298,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2015","2015",1,,
"IT","Italia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2018","2018",1,,
