"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","TIPOVIOLENZA","Tipo di violenza","STATI_MORBOSI","Stato d'animo","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2013","2013",434,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2014","2014",110,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2015","2015",67,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2016","2016",80,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2017","2017",66,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2018","2018",82,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2019","2019",62,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2020","2020",189,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2021","2021",158,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHY","violenza fisica ","ALL","tutte le voci","2022","2022",80,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2013","2013",82,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2014","2014",45,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2015","2015",23,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2016","2016",29,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2017","2017",45,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2018","2018",25,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2019","2019",25,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2020","2020",94,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2021","2021",116,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","SEXVIOL","violenza sessuale","ALL","tutte le voci","2022","2022",42,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2013","2013",341,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2014","2014",155,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","PHYVIOL","violenza psicologica","ALL","tutte le voci","2015","2015",134,,
