"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","TITOLO_STUDIO","Titolo di studio","DENUNCIA","Denuncia e motivo del ritiro","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2013","2013",702,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2014","2014",276,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2015","2015",210,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2016","2016",211,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2017","2017",183,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2018","2018",179,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2019","2019",160,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2020","2020",303,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2021","2021",288,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","ALL","totale","NOREPORT","non denuncia","2022","2022",182,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2013","2013",9203,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2014","2014",7232,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2015","2015",5710,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2016","2016",5728,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2017","2017",5535,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2018","2018",6697,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2019","2019",6081,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2020","2020",8958,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2021","2021",9907,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","ALL","totale","NOREPORT","non denuncia","2022","2022",8056,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2013","2013",9963,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2014","2014",7510,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2015","2015",5920,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2016","2016",5939,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2017","2017",5718,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2018","2018",6876,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2019","2019",6241,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2020","2020",9261,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","ALL","totale","NOREPORT","non denuncia","2021","2021",10195,,
