"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",11,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2014","2014",6,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2015","2015",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2016","2016",3,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",4,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2018","2018",5,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2019","2019",6,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2020","2020",26,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",34,,
"IT","Italia","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",17,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",90,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",91,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",52,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",51,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",68,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",87,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",93,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",242,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",388,,
"IT","Italia","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",232,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",101,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",97,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",56,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",54,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",72,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",92,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",99,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",268,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",422,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",249,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2013","2013",2,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2016","2016",1,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2017","2017",1,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2018","2018",2,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2019","2019",1,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2020","2020",4,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",6,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",3,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",21,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",30,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",13,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",15,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",18,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",21,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",26,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",47,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",85,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",57,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2013","2013",23,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2014","2014",30,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2015","2015",13,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2016","2016",16,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2017","2017",19,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2018","2018",23,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2019","2019",27,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2020","2020",51,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2021","2021",91,,
"ITC","Nord-ovest","VICTIMS","vittime di violenza","T","totale","Y_UN17","fino a 17 anni","2022","2022",60,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2016","2016",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2020","2020",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2021","2021",3,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","M","maschi","Y_UN17","fino a 17 anni","2022","2022",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2013","2013",9,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2014","2014",6,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2015","2015",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2016","2016",1,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2017","2017",5,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2018","2018",7,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2019","2019",5,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2020","2020",8,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2021","2021",25,,
"ITC1","Piemonte","VICTIMS","vittime di violenza","F","femmine","Y_UN17","fino a 17 anni","2022","2022",10,,
