"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","SEXISTAT1","Sesso","CONDIZIONE_DICH4","Stato occupazionale","DENUNCIA","Denuncia e motivo del ritiro","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2013","2013",3718,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2014","2014",2827,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2015","2015",2147,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2016","2016",2304,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2017","2017",2269,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2018","2018",2940,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2019","2019",2656,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2020","2020",3386,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2021","2021",3423,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NOREPORT","non denuncia","2022","2022",3336,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2013","2013",972,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2014","2014",547,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2015","2015",410,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2016","2016",486,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2017","2017",459,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2018","2018",512,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2019","2019",453,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2020","2020",576,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2021","2021",702,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","REPORT","denuncia","2022","2022",587,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2013","2013",427,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2014","2014",123,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2015","2015",85,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2016","2016",113,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2017","2017",105,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2018","2018",107,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2019","2019",101,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2020","2020",95,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2021","2021",104,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","WITHDR_COMP","ritira la denuncia","2022","2022",126,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2013","2013",57,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2014","2014",27,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2015","2015",12,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2016","2016",8,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2017","2017",17,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2018","2018",10,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2019","2019",12,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2020","2020",27,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2021","2021",36,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","NRP","non risponde","2022","2022",37,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2013","2013",5344,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2014","2014",3626,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2015","2015",2745,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2016","2016",3000,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2017","2017",2997,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2018","2018",3766,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2019","2019",3344,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2020","2020",4967,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2021","2021",4816,,
"IT","Italia","VICTIMS","vittime di violenza","T","totale","EMPD","occupato","ALL","tutte le voci","2022","2022",4252,,
